nom,email,tel,adresse,notes
Épicerie Coopérative La Ruche,contact@epicerie-laruche.fr,04 76 22 15 40,"14 rue des Halles, 38000 Grenoble",Livraison le mardi de préférence
Biocoop Terre Vivante,achats@biocoop-terrevivante.fr,04 67 10 33 21,"2 avenue du Marché, 34000 Montpellier",Commande groupée toutes les 2 semaines
Fromagerie Delorme,contact@fromagerie-delorme.fr,05 55 48 22 07,"14 rue des Prés, 19000 Tulle","Client depuis 2024, règle par virement"
L'Atelier Gourmand,bonjour@atelier-gourmand.fr,02 40 18 55 12,"9 rue de la Paix, 44000 Nantes",
Maison Bertrand Primeurs,primeurs.bertrand@orange.fr,03 88 22 40 19,"3 place du Marché, 67000 Strasbourg",Préfère les livraisons le matin
Épicerie Fine du Marché,contact@epiceriefine-marche.fr,04 91 33 27 08,"18 cours Julien, 13006 Marseille",
Le Comptoir Nature,commandes@comptoirnature.fr,05 61 20 44 33,"6 rue des Arts, 31000 Toulouse",Facturation mensuelle groupée
Boulangerie Ferrand,boulangerie.ferrand@gmail.com,04 79 55 12 60,"1 place de l'Église, 73000 Chambéry",
La Cave à Miel,contact@lacaveamiel.fr,03 80 22 18 45,"22 rue de la Liberté, 21000 Dijon",Spécialisé produits sucrés artisanaux
Chez Nicole Traiteur,nicole.traiteur@orange.fr,02 99 40 27 15,"8 rue Saint-Malo, 35000 Rennes",Commandes ponctuelles pour événements
Marché Bio du Village,contact@marchebio-village.fr,04 50 22 18 60,"Place de la Mairie, 74000 Annecy",
Saveurs et Terroir,achats@saveursetterroir.fr,05 65 30 44 22,"5 rue du Terroir, 12000 Rodez","Bon client, paie toujours à réception"
L'Épicerie du Coin,epicerieducoin@gmail.com,01 42 33 18 55,"27 rue de Belleville, 75020 Paris",
Table d'Hôtes Rustique,contact@tablehotes-rustique.fr,05 53 40 22 18,"Le Bourg, 24000 Périgueux",Petites quantités mais régulier
Ferme-Auberge Les Tilleuls,lestilleuls.auberge@orange.fr,04 71 22 55 30,"Route des Tilleuls, 43000 Le Puy-en-Velay",
